batch_label,model,request_id,ok,elapsed,completion_tokens,tokens_per_second,finish_reason,error
load-9,phi4-mini,1,True,6.776321750017814,59,8.706788457889399,stop,
load-9,phi4-mini,2,True,6.786832916026469,59,8.693303744177499,stop,
load-9,phi4-mini,5,True,6.782203542010393,59,8.699237590635787,stop,
load-9,qwen35-4b,5,True,7.2825258749653585,62,8.513529655024387,stop,
load-9,qwen35-4b,6,True,7.556109542027116,62,8.205280727490214,stop,
load-9,qwen35-4b,3,True,7.636110874998849,62,8.119316366004094,stop,
load-9,qwen35-4b,2,True,9.730004624987487,62,6.372042192125858,stop,
load-9,qwen35-4b,9,True,10.224643707973883,64,6.259386813653799,stop,
load-9,qwen35-4b,8,True,10.237382415973116,64,6.251598055001101,stop,
load-9,qwen35-4b,7,True,10.257748292002361,64,6.239186045333044,stop,
load-10,ministral3-3b,1,True,2.7161933750030585,49,18.03995269664658,stop,
load-10,ministral3-3b,3,True,2.7524934590328485,49,17.802040487760966,stop,
load-10,ministral3-3b,2,True,2.796045250026509,49,17.52475214753246,stop,
load-10,ministral3-3b,10,True,2.8064791669603437,49,17.45959869464172,stop,
load-10,ministral3-3b,8,True,3.158082582987845,49,15.515743718658985,stop,
load-10,ministral3-3b,7,True,3.2068370840279385,49,15.279853237338047,stop,
load-10,ministral3-3b,4,True,3.22945812495891,49,15.172824078845565,stop,
load-10,ministral3-3b,6,True,3.2373670000233687,49,15.135756928283477,stop,
load-10,ministral3-3b,9,True,3.2459621250163764,49,15.095678295923674,stop,
load-10,ministral3-3b,5,True,3.273611249984242,49,14.968179254710183,stop,
load-10,phi4-mini,9,True,4.827033334004227,59,12.222828374598569,stop,
load-10,phi4-mini,7,True,4.890150416991673,59,12.06506854983321,stop,
load-10,phi4-mini,1,True,5.019494290987495,59,11.754172149559873,stop,
load-10,phi4-mini,2,True,5.08253600000171,59,11.608378179707955,stop,
load-10,phi4-mini,10,True,5.1148026249720715,59,11.535146969688231,stop,
load-10,phi4-mini,8,True,5.145411542034708,59,11.466526927536872,stop,
load-10,phi4-mini,6,True,6.389206999971066,59,9.234322819759509,stop,
load-10,phi4-mini,5,True,6.471884125028737,59,9.116356050292854,stop,
load-10,phi4-mini,3,True,6.495935333019588,59,9.082602731602977,stop,
load-10,phi4-mini,4,True,6.5104177499888465,59,9.062398492032417,stop,
load-10,qwen35-4b,1,True,7.117819499981124,62,8.710532769222993,stop,
load-10,qwen35-4b,9,True,7.265278709004633,62,8.533740064666315,stop,
load-10,qwen35-4b,10,True,7.272397707973141,62,8.5253863291918,stop,
load-10,qwen35-4b,8,True,7.555740332987625,62,8.205681676130935,stop,
load-10,qwen35-4b,7,True,7.577674166997895,62,8.181930053158121,stop,
load-10,qwen35-4b,6,True,7.625185707991477,62,8.130949510517718,stop,
load-10,qwen35-4b,2,True,10.232580000010785,62,6.059077964690689,stop,
load-10,qwen35-4b,3,True,10.334835292014759,62,5.99912802170195,stop,
load-10,qwen35-4b,4,True,10.34853724995628,62,5.991184889464638,stop,
load-10,qwen35-4b,5,True,10.51834658300504,64,6.084606501121349,stop,
